system,citation_key,tier,grounding_assessment,instructibility_assessment,alignment_assessment,key_metric,metric_value,notes
KnowGraph,zhou2024knowgraph,A,Strong,Moderate,Strong,Inductive AUC,91.2%,"Weighted FOL integration supports grounding; rule modification supports instructibility; defensive use supports alignment"
HPTSA,zhu2026teams,C,Moderate,Limited,Limited,Zero-Day Success (pass@5),42%,"Type C baseline (non-NeSy); included only for comparative illustration of the G-I-A lens"
VulnBot,kong2025vulnbot,B,Moderate,Moderate,Strong,Completion Rate,30.3%,"Task-graph modification supports instructibility; defensive specialization supports alignment"
H-MARL Defense,singh2024hierarchical,C,Moderate,Moderate,Strong,Recovery Precision,61%,"Type C baseline (non-NeSy); included only for comparative illustration of the G-I-A lens"
LTN-IDS,grov2024neurosymbolic,A,Strong,Moderate,Moderate,XSS Precision,21.3%,"LTN logical constraints support grounding; precision increase is a reported primary-study result"
IoT NeSy,kalutharage2025neurosymbolic,A,Strong,Moderate,Strong,Detection Accuracy + ATT&CK,97%,"ATT&CK mapping supports grounding and alignment; primary-study accuracy is reported separately"
